id,prediccion
2309,389791758.0525927
22405,47512265.10400076
23398,88277969.68608822
25059,302330628.6761748
2665,575470706.6787674
8512,26965517.155940503
5149,442015208.62488765
7791,280802532.46729225
11312,33494306.34110892
19044,378968653.9327508
10785,113031426.95188892
22247,51382093.7402284
3269,21901456.530212745
15948,11258177.185550893
14978,56261975.88956736
14475,27942282.911487978
28695,736345767.9897735
14055,14848497.889354073
26546,90851050.977756
14981,552467452.9228865
17637,612628690.5615523
3932,16588438.140691172
8388,11446125.984176556
8029,35837442.435905464
9483,494721.34810401016
22573,46725137.527576536
15108,42480183.5805953
3674,50732123.77198909
21389,253186368.0997884
5938,52675063.45943293
27034,52932204.206243
29272,37003869.78301404
21881,688522930.7249686
6509,152951454.32259053
21458,58632938.544285804
20072,71641342.25758585
27013,199774139.2829989
10093,529777168.5413436
22568,41992455.23274817
12977,16098433.289281223
3814,720166653.9152763
7338,46698770.297211066
24484,37786369.811742336
19593,545626751.1290276
5122,722552297.6511071
14906,20325913.15661097
8224,173158634.45456135
2869,60614658.608590655
2343,227038283.25118196
8833,36826365.27335492
7933,418006551.56899744
16558,30263870.858347878
20605,381219824.023959
12984,676642763.5664916
3015,57562341.87958898
27332,682537164.6077882
12125,102604766.57752073
3753,57211572.94736359
27388,20528446.114378355
12336,16753602.46186214
11545,111726054.82854748
11357,69495898.80161084
2677,94262347.77540275
28739,309583.3771409889
29996,32103931.35265538
20748,17759283.56023503
13376,23663976.927106563
17987,45228465.680647545
7886,38865715.76009812
13333,59252393.138449214
9586,68713153.09977217
6333,14002029.207452448
24430,486663708.24025625
18080,233533399.43462673
5202,517987593.3941839
748,27062042.692560814
9761,555163075.1062479
29613,54241485.18557772
19993,41607891.02694652
23190,284127031.7919118
25536,34458836.97597913
17964,26485960.165440414
25247,36992622.47260749
5082,11204161.72785323
9351,102747314.07496524
10983,25776168.3643012
23622,400818689.10163385
13236,175256245.33384004
19368,122497596.6452784
1191,54097035.70308856
822,44827834.51201447
15879,31396111.39275713
20498,399323713.742672
9420,131733018.57851146
28101,140523975.80453265
8893,108772240.73616354
4462,11072088.064162482
25230,78330954.2279808
29986,86949864.63869269
12607,47171051.83952058
25979,44707316.224720724
19133,135352284.6931351
14741,635764975.5303575
12147,151010882.5109237
2745,38392508.04243234
10115,129836754.03110002
2384,11327916.739897164
9154,21537504.980527643
1407,35819033.49508531
16561,18209510.181809023
19362,19383668.09374377
10343,566736382.5037438
27757,43327506.97378014
17615,18890760.84698221
19907,47389589.07124405
24531,15510760.329062877
27309,265108691.2303438
17789,13590523.887486666
13076,44235342.600383125
22090,221983990.49743754
28574,56411810.01964627
20569,42782792.63106743
17891,102089762.80320363
16838,426957464.2205104
6553,44100775.051251404
19638,29369369.44983434
18295,340965220.6494063
2877,34020612.815419
2983,27913443.04604759
17411,665421101.1495457
15163,57169213.67405572
2154,455213123.05363697
18701,18359386.718572255
7668,155256799.49268845
15244,129367105.18374115
16858,23531211.056470875
13962,11465918.337421833
218,297393747.15274006
23288,55313149.26550771
2214,482474496.30360925
6581,635941518.5938916
27603,649922363.3795596
19377,727297491.2052727
7540,69931986.4744884
14977,86973265.16859014
10129,14551668.367033102
5706,24651848.535455197
5954,613199045.8742313
539,41186106.26078458
21664,11159625.652628774
21568,36515059.096865766
28983,560997599.1952797
7428,65906335.15018784
20726,72327148.4164737
4182,12459779.747511122
18702,11295228.574659783
15415,37470644.417144395
12155,18574197.13471644
580,111535883.75414257
2169,33107972.69232793
24420,11270178.73605216
251,65046110.71760355
15693,727719071.1934052
9972,27623494.039038397
16181,28200548.194227602
11490,29557990.99480252
9145,25080352.055708144
29433,48845436.993912585
25791,54535458.88259568
5772,973539.9598505234
26747,68982317.25459787
2326,58360592.92258445
15431,289691036.2665982
431,11373134.466418805
10769,58090617.23271412
2533,36380910.95280937
2458,41370850.88153556
19187,149888980.7427266
27236,537419129.5075989
22292,3103185.466654326
11213,70880317.84541579
506,28426446.514625106
23113,521486359.17229915
18780,541237643.4950562
19083,40153764.267842345
17895,16554896.084459394
19007,48406374.32347572
19691,44650609.31274938
27094,15147275.563108606
23180,726262457.5353252
12627,36593650.86895662
3835,68253791.945574
1331,68828918.4513745
21467,33289751.663912885
23829,51489667.93665439
2542,20502819.32928794
28613,51761076.23159653
21996,33256742.220303677
11900,26748264.549127713
25873,72139417.35352823
26226,691873797.8106781
15806,565182317.259643
9556,33179575.76012322
7568,28836732.86716258
3508,685394348.0839169
8835,192414729.30804121
18785,171171464.8491739
29858,528647491.79462624
23588,75938716.4351941
28268,34578348.486752234
5845,111177678.08428858
26477,112850819.66405998
24199,42987125.7869717
28882,767201024.1239069
4846,31669735.073546972
4986,529902012.7683312
