id,prezo_euros
2309,448107.71
22405,137593.69
23398,342124.47
25059,261816.86
2665,443882.81
8512,94641.39
5149,567036.65
7791,262868.94
11312,98172.32
19044,326181.48
10785,330500.42
22247,167123.7
3269,75705.81
15948,184903.26
14978,143691.38
14475,126268.09
28695,394806.23
14055,65086.07
26546,212036.96
14981,460923.13
17637,332393.58
3932,54328.46
8388,68380.47
8029,104302.02
9483,119991.13
22573,108838.68
15108,120520.16
3674,113740.92
21389,426739.56
5938,134485.79
27034,139885.62
29272,101853.77
21881,435725.53
6509,361526.61
21458,194008.51
20072,248640.38
27013,255502.43
10093,395782.67
22568,116037.19
12977,64956.82
3814,300113.49
7338,143201.9
24484,142165.02
19593,621063.39
5122,508842.44
14906,69225.47
8224,121740.7
2869,187088.75
2343,375868.01
8833,80967.11
7933,401775.35
16558,72775.78
20605,332882.06
12984,345341.41
3015,143649.29
27332,543463.93
12125,223859.37
3753,126650.21
27388,84183.1
12336,66025.02
11545,316459.21
11357,106056.1
2677,362458.2
28739,127161.36
29996,102827.95
20748,63779.13
13376,80781.03
17987,129902.01
7886,83088.27
13333,142220.8
9586,139337.74
6333,76349.22
24430,403331.59
18080,265539.98
5202,575674.54
748,122616.58
9761,401921.57
29613,147201.37
19993,135644.29
23190,396026.91
25536,85103.47
17964,88587.38
25247,116333.9
5082,54376.67
9351,161529.27
10983,104299.31
23622,417763.64
13236,242248.17
19368,305414.6
1191,144150.37
822,115658.15
15879,100388.15
20498,391187.33
9420,183448.33
28101,197311.18
8893,391099.21
4462,75519.6
25230,189380.95
29986,321078.18
12607,150080.98
25979,133076.84
19133,337194.92
14741,565674.18
12147,345365.89
2745,93501.61
10115,327489.6
2384,65266.59
9154,84005.33
1407,107717.02
16561,68631.87
19362,61139.81
10343,325791.94
27757,123082.09
17615,55086.61
19907,145145.72
24531,63454.68
27309,321704.18
17789,67915.73
13076,99342.08
22090,159676.05
28574,94019.88
20569,157103.04
17891,350868.8
16838,491012.23
6553,115151.49
19638,67025.7
18295,271923.18
2877,81752.34
2983,93550.93
17411,534286.21
15163,133312.24
2154,359728.8
18701,78928.07
7668,319098.41
15244,293250.21
16858,90278.53
13962,64016.19
218,460973.38
23288,156985.79
2214,400909.92
6581,560020.79
27603,350747.47
19377,508474.94
7540,201345.3
14977,244651.16
10129,66932.48
5706,68815.49
5954,440273.83
539,104474.41
21664,67520.66
21568,85896.18
28983,553120.69
7428,147930.71
20726,142543.57
4182,66280.4
18702,70624.44
15415,92222.85
12155,60783.95
580,255121.95
2169,161378.66
24420,57744.87
251,169297.68
15693,272528.7
9972,75136.87
16181,162693.49
11490,86241.49
9145,86741.92
29433,88413.8
25791,116241.6
5772,120572.13
26747,155673.83
2326,125165.26
15431,408530.74
431,53715.69
10769,165020.6
2533,118948.43
2458,133996.37
19187,239052.11
27236,445072.98
22292,154350.84
11213,121859.72
506,81118.05
23113,416059.93
18780,391956.44
19083,85549.21
17895,63667.48
19007,113435.14
19691,144725.39
27094,56638.46
23180,595121.34
12627,111975.09
3835,160081.87
1331,127354.38
21467,73983.48
23829,169836.27
2542,56161.44
28613,125042.0
21996,98260.13
11900,75230.86
25873,238035.28
26226,431035.5
15806,544751.53
9556,111675.63
7568,92988.71
3508,357834.59
8835,371712.08
18785,220419.18
29858,351122.65
23588,262619.56
28268,96173.0
5845,274981.61
26477,367066.54
24199,115477.48
28882,342447.98
4846,93336.37
4986,279547.22
23400,339600.8
25570,470192.34
20263,282239.1
20857,272829.3
26823,163484.46
9318,182907.25
25507,53353.98
14848,109596.98
7843,226408.87
28648,89844.34
29985,123450.4
13049,126021.71
25100,119566.98
14857,61788.29
25014,73290.53
10740,221638.26
16095,278989.59
2209,356286.25
18841,493096.61
28273,317938.24
22373,150174.24
2267,132763.95
5227,336501.01
28302,345696.09
21579,91615.95
20123,110451.82
17893,295339.12
20928,235373.26
13023,272836.21
20737,123379.97
27367,50521.04
11741,71396.02
6548,56355.93
3283,444796.33
15615,152507.01
23662,341721.43
2277,151115.19
26051,121337.14
12355,284284.87
16486,236899.42
19536,108205.88
18674,414894.58
8697,331342.44
22565,168874.05
16380,93750.53
25295,282739.35
28681,115806.66
24992,469677.96
29670,216583.53
5837,176525.36
10236,95461.98
22825,70239.0
280,67370.73
22377,142974.32
25274,83422.45
5161,599058.64
29753,476129.44
3691,232700.9
5916,160294.48
11579,139426.28
18079,95314.92
19537,71148.21
26024,210842.63
29720,296559.09
21740,64725.36
25744,127090.98
20553,99039.78
11703,422103.12
11515,399989.89
9007,298755.98
11743,462225.53
28262,74585.46
16470,118662.37
13677,417645.57
20164,73751.43
16786,102673.86
29323,105033.63
15694,141741.39
17336,258408.47
3736,67471.82
25485,61356.57
3644,128546.33
7199,240699.06
25366,126913.6
24937,72970.25
21306,88903.4
29366,409830.76
21524,565324.58
21719,351325.57
1838,66906.81
29916,111602.4
10985,111017.62
9304,325474.65
12800,305006.84
1458,346345.61
1093,103272.29
4150,158429.03
11009,166521.49
27069,206615.64
9190,55797.6
4933,250347.03
14466,264835.86
4557,60578.2
11489,170144.46
12075,239033.4
25102,273290.41
16798,105532.37
20071,344948.13
14419,123155.74
28246,62059.36
25390,342336.25
24997,583879.19
17279,132523.0
6482,113029.2
8021,126180.92
9101,94998.91
17477,72078.27
8590,335831.6
29162,313700.1
24516,139003.62
27275,286656.2
23873,107447.89
29364,110435.36
1504,394426.74
9937,117902.83
10940,55048.98
20295,110757.63
3950,499349.88
6439,525942.31
13620,414943.69
14304,151297.05
22094,63828.92
15949,320253.79
28190,538049.82
13065,109984.64
13251,327138.11
29167,76379.51
7744,482296.23
26227,166394.38
7756,231773.02
1413,496462.28
6529,98289.23
1123,113524.28
16334,502031.57
5246,545364.29
12153,111940.28
19641,177080.7
25208,116476.19
9434,325172.14
7469,61624.29
29012,432367.33
11032,53918.88
29443,139009.19
7294,144026.14
12972,131208.07
5347,60150.5
14471,124596.74
28812,162082.45
15963,83539.88
24275,97840.39
21150,365295.51
10864,115910.25
17755,260649.57
4485,168733.87
10561,141736.9
24578,373872.09
20327,119299.81
21717,317278.96
10599,134618.2
1434,53017.79
5861,78511.0
12427,95818.55
10981,331606.29
22045,150864.74
27831,63824.55
23078,420108.95
26377,115154.11
10407,253688.55
23491,324430.81
19567,76606.39
11473,171835.18
12064,285943.53
8932,406999.12
10969,471964.47
27756,69928.09
26848,164475.86
1611,154465.35
29237,115228.95
16267,379137.35
12394,129004.1
26840,69232.98
2768,109592.84
12777,61867.17
23177,240737.62
217,93100.67
24877,81995.97
6166,109393.42
3902,251108.29
21232,249639.9
24637,128348.79
10000,356448.07
14798,124249.62
6088,80769.68
14460,132224.03
2857,203242.83
18218,119927.94
17042,62290.93
12415,81823.16
9673,416227.92
517,175263.81
11624,95191.73
8282,58347.59
20257,66963.35
12079,73537.6
17735,298538.83
2158,299436.72
28082,105398.85
10727,174542.53
29031,90800.69
3097,206030.65
22754,68745.67
3109,239961.19
10277,110065.35
21882,219902.17
6428,70297.95
9253,458000.69
2407,383224.3
25039,341573.71
14643,125520.17
24744,238625.05
18525,122715.58
13421,92568.05
3399,96199.19
8944,311571.66
27173,296859.36
6940,282043.94
27316,133974.66
28315,208717.86
27775,57511.22
9817,404674.85
16140,66595.95
9419,138236.23
12316,141579.61
2519,67699.83
29752,343027.84
16602,154886.81
17593,212745.01
5101,251392.33
9843,183411.91
17188,114071.56
7278,321820.29
18773,127347.32
10079,62115.51
21771,93990.85
26444,164515.0
9893,312355.53
6329,131572.11
10046,86835.78
26120,368012.18
14330,60255.29
26756,98141.07
11847,183337.89
16587,335885.21
17551,374507.37
21265,391781.65
15092,159905.58
23481,197556.4
18394,63520.48
22277,432335.23
10400,515396.17
8165,102600.43
22501,419377.61
10884,414594.23
23087,118205.81
24673,324953.39
13721,523725.32
17847,77323.52
3383,61525.96
9846,267582.78
18833,93401.9
19341,123098.08
7340,316250.63
14369,74749.92
14660,85373.66
429,144573.31
16205,122449.51
17508,118403.27
625,306216.86
28356,55278.18
17171,504284.27
1139,313595.79
17664,136407.8
24512,81839.4
19543,98887.3
4409,102698.41
17121,126945.19
10353,73173.76
29597,119160.52
9478,347547.4
10300,110055.1
2886,92796.01
18418,64414.44
7501,330328.21
2684,188385.51
23494,232969.2
17173,111264.49
22925,78505.22
9899,116044.5
6217,446934.76
20720,139191.05
7979,109192.74
11406,119846.72
5552,232324.82
739,164959.0
28718,91055.52
10747,340219.06
27646,369258.98
7072,125668.3
1711,127557.44
3509,94065.36
23163,102463.28
29050,518958.64
13805,59972.01
13493,112462.64
18341,282245.01
12052,468261.03
15956,117773.09
18004,178151.23
7780,99249.74
9004,97246.34
15747,107196.45
25482,147017.5
734,148724.34
14199,288063.65
21907,224310.25
21045,86984.05
15821,84142.92
18843,82316.52
20245,81214.27
8204,122936.64
28967,284093.53
10587,131872.8
19592,325945.66
20200,444549.3
18897,642128.59
23629,235275.53
4970,454987.04
12622,164693.59
8248,124042.09
24383,455905.43
2905,294044.67
20274,344371.98
12102,129469.12
6070,248667.93
12141,131761.53
3699,277655.44
29678,107352.39
1913,422931.39
6401,115972.4
4476,80634.17
23455,98005.61
29218,169151.48
8346,122962.05
26624,89484.42
26598,61815.59
10039,492680.46
3264,260235.06
10262,98369.22
16983,109426.71
4978,145742.18
11328,128325.9
28217,114963.44
20347,230925.21
4230,532686.77
5219,512900.3
15845,83089.95
