id,prezo_euros
2309,474987.9554545767
22405,138134.41457200903
23398,332343.75322653033
25059,249147.45021368188
2665,595371.0860857561
8512,86330.88819279218
5149,610600.3658609947
7791,289448.4543724763
11312,105522.04547672016
19044,321449.0615626128
10785,329816.3942673861
22247,173224.7491713273
3269,70627.00301697217
15948,305823.5451477436
14978,127644.52860914335
14475,341696.60361753986
28695,467272.8139151403
14055,68017.49063049907
26546,221606.37970578432
14981,475692.4721642529
17637,476070.5879259348
3932,56607.115332677815
8388,68309.33371319844
8029,103336.36263286915
9483,91959.6697578166
22573,110465.8623917995
15108,116506.37791549064
3674,101098.9884833023
21389,435085.5892234149
5938,138806.62603947485
27034,121254.11944100884
29272,106156.35821749819
21881,580926.1608545395
6509,379646.66883172747
21458,167860.79518195472
20072,252768.50000262086
27013,262259.3027954663
10093,421916.0805884909
22568,130186.86314209977
12977,63893.22569533654
3814,420737.94393960893
7338,133591.54013005635
24484,142154.68996627413
19593,605795.2477101859
5122,529390.7288308659
14906,74267.76261411273
8224,202491.27653466022
2869,177376.1599431368
2343,382341.7043730337
8833,81621.58854143062
7933,368645.601082219
16558,81321.8640100884
20605,326494.3685455696
12984,434934.4105491953
3015,136769.2047774955
27332,565348.2844726129
12125,252884.41354605096
3753,128463.11260253564
27388,82743.26036069302
12336,67485.82033298099
11545,373990.2842916115
11357,105063.31633937525
2677,373884.1773127412
28739,110581.24687897948
29996,117691.86607193087
20748,72502.76858429461
13376,72375.95373189582
17987,108893.33532304692
7886,71823.96473708889
13333,132396.51917280155
9586,148838.77712483748
6333,75295.96830892302
24430,395222.28095399577
18080,249097.870996491
5202,556915.6807741468
748,138171.0863634343
9761,442886.39594313334
29613,129142.2605331107
19993,126141.33330465137
23190,355303.94215172203
25536,77626.30920499422
17964,90588.48251961378
25247,111608.91333726882
5082,55680.953331997574
9351,180873.145298303
10983,112010.80734600227
23622,411299.4512513092
13236,237677.17706287952
19368,301164.90805232787
1191,128900.95715741416
822,117034.62215302161
15879,99295.33721741097
20498,409738.8633588743
9420,191799.76058074116
28101,227053.41356149619
8893,432407.1188658354
4462,84589.47576173005
25230,187249.90743679786
29986,326100.4215636147
12607,143425.94820828407
25979,120522.05523037296
19133,352293.66269241367
14741,371900.95260412287
12147,356291.75898261694
2745,92244.580494776
10115,311912.03963570925
2384,71985.94739649417
9154,86805.67542436122
1407,118619.36489076224
16561,71424.28562316185
19362,59534.15800204777
10343,362260.0851025031
27757,122025.09047476556
17615,50559.46374777968
19907,147733.58870152582
24531,62711.76954730442
27309,311353.07051432395
17789,75637.90306002746
13076,93728.64392881206
22090,191789.6964743034
28574,105821.0693862452
20569,170890.76409727585
17891,351187.03104610625
16838,495032.315598287
6553,95629.53406137794
19638,59500.55867423279
18295,272920.26072496583
2877,82785.22853810032
2983,94608.99353502992
17411,655967.250756667
15163,125553.97624368018
2154,441694.8334312592
18701,71164.4010680123
7668,320835.6023363127
15244,291721.24638734374
16858,106147.25408922082
13962,68730.16794017934
218,466513.10917717085
23288,147298.06931134962
2214,378329.5241650341
6581,618928.3489138242
27603,419029.3405066125
19377,574873.611597661
7540,212137.0871338002
14977,233177.06108000348
10129,71068.57208828541
5706,63960.52904313462
5954,490078.26317461295
539,99560.119001722
21664,63966.98190388251
21568,91858.85507132046
28983,553450.6463273768
7428,151105.11142200962
20726,148117.86262785923
4182,57101.3881262043
18702,62705.136841314365
15415,88196.27101798843
